clip_id,speaker_id,source_split,source_filename,source_url,source_sha256,processed_path,processed_sha256,original_sample_rate,sample_rate,duration_seconds,num_samples,seed,expected_message
2961-961-0011,2961,test-clean,LibriSpeech/test-clean/2961/961/2961-961-0011.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,f859855c45fc07e8d561ed7a846fd14ca4ae1515749b60c4e8d4ce825df30180,data/processed/2961-961-0011.wav,6bc4f1e626b12ca4d85bf378e934c56eef9553691641245e3b1e0a113beb54f5,16000,16000,7.815,125040,20260905,1000011001110011
672-122797-0000,672,test-clean,LibriSpeech/test-clean/672/122797/672-122797-0000.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,776b1ce553e7ecb2dc0254b2aa4b35af0bde50db65dbf7bdbdfa1560a2c9ec36,data/processed/672-122797-0000.wav,0167933ccbd726dc6d1846786911264c866c3fd97e455d6f6e6ca484b776fe7e,16000,16000,4.07,65120,20260905,1011001010010011
4446-2273-0014,4446,test-clean,LibriSpeech/test-clean/4446/2273/4446-2273-0014.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,82537eebe62dc354110bc61dbe993299b5faec82db079931a4067740be54d232,data/processed/4446-2273-0014.wav,77e471d0c069b7e3e22fa1a529daba73178e914dfcb552a1def39a2b1390a00d,16000,16000,2.39,38240,20260905,1011000011101010
8455-210777-0020,8455,test-clean,LibriSpeech/test-clean/8455/210777/8455-210777-0020.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,02236ecd1be6de19202a31bf6c02c554ab97ed593d60aa62ed060eeebaa544de,data/processed/8455-210777-0020.wav,5a03acef192cd36c0d544de9a19dd04297e16353a411cf1e88ec2cb9d7cd9546,16000,16000,3.155,50480,20260905,1010100100000110
61-70968-0036,61,test-clean,LibriSpeech/test-clean/61/70968/61-70968-0036.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,3da5aba391882fe52fcffd1330e4b3c222cbf1f0f271d687a8547fee1ad561e9,data/processed/61-70968-0036.wav,154dce9052e0a3e7ad43184db5fae393f7a9ba6b2b41b8248428a97ada7ac113,16000,16000,2.9349375,46959,20260905,0000101100000110
1221-135767-0015,1221,test-clean,LibriSpeech/test-clean/1221/135767/1221-135767-0015.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,892f2cf44005a11f60b42cdcce2a8824b70701feb44527cb2e00afa6c36ff621,data/processed/1221-135767-0015.wav,6ab4ac2c61016cd42a2d2532cfcd75396a52184e5bb1ac732fb645fb79618c6b,16000,16000,2.85,45600,20260905,0110010001110111
260-123440-0017,260,test-clean,LibriSpeech/test-clean/260/123440/260-123440-0017.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,b7388d520ed799794e54169d524ef60bf0c0566f46cd6a2b3694ebc25c0fb9ce,data/processed/260-123440-0017.wav,0204a7d06bcfc74cf6fd878b6c605b77bb1d9c6c6a086002a6f626454ee878ce,16000,16000,3.07,49120,20260905,0010010001000010
7729-102255-0014,7729,test-clean,LibriSpeech/test-clean/7729/102255/7729-102255-0014.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,a56d5303079fbae7840d32cd277a19e39cd97669423e028ce7499e51d161eae0,data/processed/7729-102255-0014.wav,9defdf2fc78f872a33181aae0f27d060b817a657e4ac97a1a753dba6472233c3,16000,16000,5.295,84720,20260905,1001111100101000
8224-274384-0002,8224,test-clean,LibriSpeech/test-clean/8224/274384/8224-274384-0002.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,846737bd0b1d3666825fedda89174a9eb170bb1f37dafd2ab03c6295c283409f,data/processed/8224-274384-0002.wav,6a37810ffceb9cb8500dfd8449065c42846c0bd551629043094ffd8251fe7fac,16000,16000,9.815,157040,20260905,0101001100010011
2830-3980-0068,2830,test-clean,LibriSpeech/test-clean/2830/3980/2830-3980-0068.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,307a91b900a8ed660f5366191e3b7c7b7e04978d84161d901cdeaf5af90158c0,data/processed/2830-3980-0068.wav,934253d1e33ab97d6147233c785bccf4fd67005e9c6edca875ce991b3f435ff3,16000,16000,5.0,80000,20260905,0000001111101011
7021-85628-0017,7021,test-clean,LibriSpeech/test-clean/7021/85628/7021-85628-0017.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,3ac88613910c6adae7e4005fdc391959c330d8e0fab414b956b79779872cada5,data/processed/7021-85628-0017.wav,e57b4f9b5baafee2b41a57ad207dfa1e318b5391bb3c9ff438b45458e1304e7d,16000,16000,2.155,34480,20260905,0010000001010101
5105-28241-0019,5105,test-clean,LibriSpeech/test-clean/5105/28241/5105-28241-0019.flac,https://www.openslr.org/resources/12/test-clean.tar.gz,96d523790a28d90ffd89ea67603421a3881a96d21cb523495d1a066c4c5ceecd,data/processed/5105-28241-0019.wav,efc4c4180a25473f1115b50827a67d38519dfa8940e6d2feebc54616db584846,16000,16000,5.29,84640,20260905,1000110010101111
